,dia,hora,AOD,n,null,tipo
5,2/7/2015,16:45:00,NA,1,1,MOD
8,3/7/2015,17:30:00,NA,2,2,MOD
506,4/7/2015,19:40:00,NA,1,1,MYD
10,4/7/2015,16:35:00,NA,2,2,MOD
509,5/7/2015,20:20:00,NA,1,1,MYD
13,5/7/2015,17:15:00,NA,4,4,MOD
515,7/7/2015,20:10:00,NA,4,4,MYD
18,7/7/2015,17:05:00,0.7895,4,2,MOD
22,8/7/2015,17:45:00,NA,1,1,MOD
521,9/7/2015,20:00:00,NA,3,3,MYD
24,9/7/2015,16:50:00,NA,2,2,MOD
524,10/7/2015,20:40:00,NA,1,1,MYD
28,10/7/2015,17:35:00,NA,2,2,MOD
526,11/7/2015,19:45:00,NA,3,3,MYD
530,12/7/2015,20:30:00,NA,1,1,MYD
33,12/7/2015,17:20:00,NA,4,4,MOD
532,13/7/2015,19:35:00,0.584,1,0,MYD
535,14/7/2015,20:15:00,NA,2,2,MYD
39,14/7/2015,17:10:00,NA,4,4,MOD
43,15/7/2015,17:55:00,0.617,2,0,MOD
540,16/7/2015,20:05:00,NA,3,3,MYD
45,16/7/2015,17:00:00,NA,2,2,MOD
49,17/7/2015,17:40:00,NA,2,2,MOD
545,18/7/2015,19:50:00,NA,4,4,MYD
51,18/7/2015,16:45:00,NA,1,1,MOD
55,19/7/2015,17:30:00,NA,3,3,MOD
551,20/7/2015,19:40:00,NA,2,2,MYD
57,20/7/2015,16:35:00,NA,3,3,MOD
554,21/7/2015,20:20:00,NA,1,1,MYD
60,21/7/2015,17:15:00,NA,4,4,MOD
556,22/7/2015,19:25:00,NA,2,2,MYD
559,23/7/2015,20:10:00,NA,4,4,MYD
65,23/7/2015,17:05:00,NA,3,3,MOD
561,24/7/2015,19:15:00,NA,2,2,MYD
69,24/7/2015,17:45:00,0.458,3,0,MOD
564,25/7/2015,19:55:00,NA,4,4,MYD
71,25/7/2015,16:50:00,NA,2,2,MOD
75,26/7/2015,17:35:00,NA,3,3,MOD
570,27/7/2015,19:45:00,NA,2,2,MYD
574,28/7/2015,20:30:00,NA,1,1,MYD
80,28/7/2015,17:20:00,NA,4,4,MOD
576,29/7/2015,19:35:00,NA,1,1,MYD
579,30/7/2015,20:15:00,NA,2,2,MYD
86,30/7/2015,17:10:00,0.548,4,3,MOD
581,31/7/2015,19:20:00,0.643,2,1,MYD
